iter	Passed	Remaining
0	0	868
1	1	745
2	2	705
3	2	662
4	3	634
5	3	612
6	4	597
7	4	588
8	5	579
9	5	571
10	6	565
11	6	560
12	7	556
13	7	552
14	8	550
15	8	546
16	9	544
17	9	542
18	10	540
19	10	538
20	11	536
21	12	535
22	12	533
23	13	532
24	13	530
25	14	529
26	14	528
27	15	528
28	15	527
29	16	526
30	16	525
31	17	525
32	17	524
33	18	523
34	18	522
35	19	520
36	20	520
37	20	520
38	21	519
39	21	518
40	22	518
41	22	517
42	23	516
43	23	515
44	24	514
45	24	514
46	25	513
47	25	512
48	26	512
49	26	511
50	27	510
51	28	510
52	28	510
53	29	509
54	29	509
55	30	508
56	30	507
57	31	506
58	31	506
59	32	505
60	32	504
61	33	503
62	33	503
63	34	502
64	34	501
65	35	501
66	35	500
67	36	499
68	37	499
69	37	498
70	38	497
71	38	497
72	39	497
73	39	496
74	40	495
75	40	494
76	41	494
77	41	493
78	42	492
79	42	492
80	43	491
81	43	491
82	44	487
83	44	487
84	45	486
85	45	485
86	46	484
87	46	484
88	47	483
89	47	483
90	48	482
91	48	482
92	49	481
93	49	481
94	50	480
95	50	480
96	51	479
97	52	478
98	52	478
99	53	477
100	53	476
101	54	476
102	54	475
103	55	474
104	55	474
105	56	473
106	56	472
107	57	472
108	57	472
109	58	472
110	58	471
111	59	470
112	59	470
113	60	469
114	60	468
115	61	468
116	61	466
117	62	466
118	62	465
119	63	464
120	63	464
121	64	462
122	64	462
123	65	461
124	65	461
125	66	460
126	66	459
127	67	458
128	67	458
129	68	457
130	68	456
131	69	456
132	69	455
133	70	455
134	70	454
135	71	454
136	71	453
137	72	452
138	73	452
139	73	451
140	74	451
141	74	449
142	74	448
143	75	448
144	75	447
145	76	447
146	76	446
147	77	446
148	78	445
149	78	445
150	79	444
151	79	443
152	80	443
153	80	442
154	81	441
155	81	441
156	82	440
157	82	440
158	83	439
159	83	439
160	83	437
161	84	437
162	85	436
163	85	436
164	86	435
165	86	435
166	87	435
167	87	434
168	88	433
169	88	433
170	89	432
171	89	432
172	90	431
173	90	431
174	91	430
175	91	429
176	92	429
177	92	428
178	93	428
179	93	427
180	94	427
181	94	426
182	95	425
183	95	425
184	96	424
185	96	424
186	97	423
187	97	423
188	98	422
189	98	421
190	99	421
191	100	421
192	100	420
193	101	419
194	101	419
195	102	418
196	102	418
197	103	417
198	103	417
199	104	416
200	104	415
201	105	415
202	105	414
203	106	414
204	106	413
205	107	413
206	107	412
207	108	411
208	108	411
209	109	410
210	109	410
211	110	409
212	110	409
213	111	408
214	111	408
215	112	407
216	112	407
217	113	406
218	113	406
219	114	406
220	115	406
221	115	405
222	116	405
223	116	404
224	117	404
225	117	404
226	118	403
227	119	402
228	119	402
229	120	401
230	120	401
231	121	400
232	121	400
233	122	399
234	122	399
235	123	398
236	123	398
237	124	398
238	124	397
239	125	397
240	125	396
241	126	395
242	126	395
243	127	394
244	127	394
245	128	393
246	128	393
247	129	392
248	129	391
249	130	391
250	130	390
251	131	390
252	131	389
253	132	389
254	132	388
255	133	387
256	134	387
257	134	386
258	135	386
259	135	385
260	136	385
261	136	384
262	137	384
263	137	383
264	138	383
265	138	382
266	139	382
267	139	381
268	140	380
269	140	380
270	141	379
271	141	379
272	142	378
273	142	378
274	143	377
275	143	377
276	144	376
277	144	375
278	145	375
279	145	374
280	146	374
281	146	373
282	147	373
283	147	372
284	148	372
285	148	371
286	149	370
287	149	370
288	150	370
289	150	369
290	151	369
291	152	368
292	152	368
293	153	367
294	153	367
295	154	366
296	154	366
297	155	365
298	155	364
299	156	364
300	156	363
301	157	363
302	157	362
303	158	362
304	158	361
305	159	361
306	159	360
307	160	360
308	160	359
309	161	358
310	161	358
311	162	357
312	162	357
313	163	356
314	163	356
315	164	355
316	164	355
317	165	354
318	165	354
319	166	353
320	166	353
321	167	352
322	167	352
323	168	351
324	169	351
325	169	350
326	170	349
327	170	349
328	171	348
329	171	348
330	172	347
331	172	347
332	173	346
333	173	346
334	174	345
335	174	345
336	175	344
337	175	343
338	176	343
339	176	342
340	177	342
341	177	341
342	178	341
343	178	340
344	179	341
345	180	340
346	180	340
347	181	340
348	182	339
349	182	339
350	183	338
351	183	338
352	184	337
353	184	336
354	185	336
355	185	335
356	186	335
357	186	334
358	187	334
359	187	333
360	188	333
361	188	332
362	189	332
363	189	331
364	190	331
365	190	330
366	191	329
367	191	329
368	192	328
369	192	328
370	193	327
371	193	327
372	194	326
373	194	326
374	195	325
375	195	325
376	196	324
377	197	324
378	197	323
379	198	323
380	198	322
381	199	322
382	199	321
383	200	321
384	200	320
385	201	319
386	201	319
387	202	318
388	202	318
389	203	317
390	203	317
391	204	316
392	204	316
393	205	315
394	205	315
395	206	314
396	206	313
397	207	313
398	207	312
399	208	312
400	208	311
401	209	311
402	209	310
403	210	310
404	210	309
405	211	309
406	211	308
407	212	308
408	212	307
409	213	307
410	213	306
411	214	305
412	214	305
413	215	304
414	215	304
415	216	303
416	216	303
417	217	302
418	217	302
419	218	301
420	218	301
421	219	300
422	219	300
423	220	299
424	220	298
425	221	298
426	221	297
427	222	297
428	222	296
429	223	296
430	224	295
431	224	295
432	225	294
433	225	294
434	226	293
435	226	293
436	227	292
437	227	292
438	228	291
439	228	291
440	229	290
441	229	289
442	230	289
443	230	288
444	231	288
445	231	287
446	232	287
447	232	286
448	233	286
449	233	285
450	234	285
451	234	284
452	235	284
453	235	283
454	236	283
455	236	282
456	237	281
457	237	281
458	238	280
459	238	280
460	239	279
461	239	279
462	240	278
463	240	278
464	241	277
465	241	277
466	242	276
467	242	276
468	243	275
469	243	275
470	244	274
471	244	274
472	245	273
473	245	272
474	246	272
475	246	271
476	247	271
477	247	270
478	248	270
479	248	269
480	249	269
481	250	268
482	250	268
483	251	267
484	251	267
485	252	266
486	252	266
487	253	265
488	253	265
489	254	264
490	254	264
491	255	263
492	255	263
493	256	262
494	256	262
495	257	261
496	257	260
497	258	260
498	258	259
499	259	259
500	259	258
501	260	258
502	260	257
503	261	257
504	261	256
505	262	256
506	262	255
507	263	255
508	263	254
509	264	254
510	265	253
511	265	253
512	266	252
513	266	252
514	267	251
515	267	251
516	268	250
517	268	249
518	269	249
519	269	248
520	270	248
521	270	247
522	271	247
523	271	246
524	272	246
525	272	245
526	273	245
527	273	244
528	274	244
529	274	243
530	275	243
531	275	242
532	276	242
533	276	241
534	277	241
535	277	240
536	278	239
537	278	239
538	279	239
539	280	238
540	280	238
541	281	237
542	281	237
543	282	236
544	282	236
545	283	235
546	283	235
547	284	234
548	284	233
549	285	233
550	285	232
551	286	232
552	286	231
553	287	231
554	287	230
555	288	230
556	288	229
